Оригинал	Утверждено	Фаргус	Изменено	Примечание	Пример файла
Aasim	Аасим	Аасим	нет	гуманоид, анимация=мужчина-боец	aasim.CRE
Aataqah	Аатага	Аатагах	да	джинн	aataqah.CRE
Aawill	Аавилл	Аавилл	нет	гуманоид, анимация=эльф-боец	pbhunt01.CRE
Abazigal	Абазигал	Абазигал	нет	монстр, анимация=мужчина-боец	abazigal.CRE
Abe	Эйб	(-)	да	(-)	(-)
Abela	Нимфа Абелла	Нимфа Абелла	нет	нимфа	abela.CRE
Abela the Nymph	Абелла	Абелла	нет	нимфа	abela.CRE
Abishai	Абишай	Абишай	нет	монстр, анимация=танарри	abisred1.CRE
Aboleth	Аболет	Аболет	нет	гуманоид, анимация=DOOM_GUARD - 2565	daabol.CRE
Achon	Эйчон	Эйчон	нет	гуманоид, анимация=эльф-вор	arnman05.CRE
Acolyte Byron	Преподобный Байрон	Аколит Бирон	да	гуманоид, анимация=мужчина-клерик	helmbyr.CRE
Acolyte Lara	Преподобная Лара	Аколит Лара	да	гуманоид, анимация=эльфийка-клерик	latlara.CRE
Acolyte Vilon	Преподобный Вилон	Аколит Вилон	да	гуманоид, анимация=мужчина-клерик	talvilon.CRE
Acton Balthis	Актон Балтис	Актон Балтис	нет	гуманоид, анимация=дворянин	hacton.CRE
Adal Kerrn	Адал Керрн	(-)	да	нет в основной игре	(-)
Adalon	Адалон	Адалон	нет	серебряная драконица	udsilver.CRE
Adamantite Golem	Адамантитовый Голем	Адамантитовый Голем	нет	гуманоид-гигант, анимация=железный голем	golada01.CRE
Adario Kalvaras	Адарио Кальварас	(-)	да	нет в основной игре, наемник, человек, убийца	(-)
Addy	Адди	Эдди	да	гуманоид, анимация=дворянка	addy.CRE
Adherent	Посвященный	Адрент	да	мужчина-боец, из рощи друидов Фалдорн, сильнее обычного	cefgt01.CRE
Administrative Worker	Писарь	Административный Работник	да	гуманоид, NOBLEMAN	GOVERN.CRE
Adratha	Адрата	Адрата	нет	монстр, анимация=куртизанка	trrak01.CRE
Adsaan	Адсаан	Адсаан	нет	гуманоид, анимация=ракшаса	suadsaan.CRE
Adventurer	Искатель Приключений	Искатель Приключений	нет	гуманоид, анимация=FIGHTER_MALE_HUMAN_LOW - 2736	deadb01.CRE
Aec'Letec	Эйк’Летек	Эк'Летек	да	монстр, анимация=танарри	tanar.CRE
Aerdrie Faenya	Аэрдри Фаэния	(-)	да	(-)	(-)
Aerial Servant	Воздушный слуга	Слуга Ауриль	да	монстр, анимация=ELEMENTAL_AIR_SMALL - 29473	servsu.CRE
Aerie	Аэри	Аэри	нет	NPC, эльфийка, маг-клерик	aerbod01.CRE
Aesgareth	Эсгарет	Эсгарет	нет	гуманоид-гигант, анимация=рыцарь смерти	gorcamb.CRE
Agannazar	Аганназар	Аганназар	нет	автор заклинания?	(-)
